iso_steff,iso_slogg_err2,iso_steff_err1,iso_steff_err2,iso_slogage,iso_smass,iso_sparallax_err1,iso_sparallax_err2,id_starname,iso_sparallax,iso_srad,iso_smet_err1,iso_smet_err2,iso_smass_err2,iso_smass_err1,iso_slogg_err1,iso_srad_err1,iso_smet,iso_srad_err2,iso_slogg,iso_slogage_err1,iso_slogage_err2,iso_sage,iso_sage_err1,iso_sage_err2
6155.0,-0.097,62.0,-60.0,9.525,1.176,0.45,-0.5,K00257,4.15,1.29,0.041,-0.041,-0.035,0.045,0.085,0.18,0.089,-0.13,4.289,0.086,-0.225,3.34965439158,0.733539471749,-1.35439207661
6271.0,-0.09,65.0,-66.0,9.564,1.109,0.49,-0.54,K00260,4.89,1.23,0.043,-0.043,-0.033,0.036,0.079,0.15,-0.154,-0.11,4.303,0.086,-0.185,3.66437574648,0.802460175031,-1.27105999007
5746.0,-0.072,64.0,-65.0,9.58,1.014,0.47,-0.61,K00261,7.91,0.991,0.042,-0.041,-0.027,0.027,0.049,0.081,0.094,-0.051,4.453,0.23,-0.4,3.80189396321,2.65464832714,-2.28833271477
6156.0,-0.094,65.0,-65.0,9.637,1.15,0.67,-0.56,K00262,4.46,1.46,0.048,-0.046,-0.054,0.067,0.102,0.21,-0.076,-0.19,4.173,0.053,-0.071,4.33510878388,0.562679409809,-0.65381904745
5742.0,-0.13,74.0,-73.0,9.866,1.031,0.87,-0.76,K00263,4.86,1.52,0.066,-0.053,-0.054,0.056,0.12,0.28,-0.093,-0.23,4.09,0.068,-0.077,7.34513868157,1.24499653348,-1.19336995447
6025.0,-0.095,69.0,-65.0,9.643,1.151,0.32,-0.3,K00265,2.49,1.34,0.042,-0.041,-0.04,0.056,0.092,0.18,0.132,-0.15,4.243,0.076,-0.098,4.39541615438,0.840588211479,-0.887897414853
6148.0,-0.091,67.0,-67.0,9.54,1.109,0.29,-0.35,K00266,3.21,1.173,0.042,-0.043,-0.033,0.037,0.071,0.144,-0.057,-0.092,4.342,0.12,-0.27,3.46736850453,1.10351339162,-1.60528136786
6385.0,-0.084,65.0,-67.0,9.28,1.22,0.32,-0.42,K00268,4.16,1.257,0.042,-0.043,-0.034,0.036,0.058,0.141,-0.015,-0.084,4.324,0.17,-0.37,1.90546071796,0.912922213301,-1.0926302018
6299.0,-0.089,64.0,-64.0,9.509,1.175,0.41,-0.43,K00269,3.74,1.32,0.043,-0.042,-0.042,0.05,0.083,0.17,-0.066,-0.13,4.265,0.074,-0.151,3.22849412171,0.599753311456,-0.948152049712
5626.0,-0.13,68.0,-69.0,9.98,0.932,0.67,-0.72,K00270,4.47,1.21,0.045,-0.044,-0.042,0.055,0.1,0.24,-0.125,-0.16,4.24,0.056,-0.072,9.54992586021,1.31433037596,-1.45896686843
