angDist,id_kic,m17_ra,m17_dec,ra_ep2000,dec_ep2000,errHalfMaj,errHalfMin,errPosAng,ra,dec,source_id,ref_epoch,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b
7.489084,2446113,292.05676,37.776192,292.0544860393,37.7751445733,0.003,0.002,90,292.0544860393,37.7751445733,2051888572327671168,2015.0,3.262,2.227,,,,,,,-0.401,0,97,1.30718e+02,1.89785e+00,20.234,NOT_AVAILABLE,70.6186538355,9.6081521384
0.467072,2449431,292.77399,37.797691,292.7739443079,37.7975663828,0.001,0.000,0,292.7739443079,37.7975663828,2051853521098349568,2015.0,0.289,0.838,,,,,,,0.978,0,135,5.23987e+04,6.42109e+01,13.726,NOT_AVAILABLE,70.9021986913,9.1126486703
0.090890,2571238,290.42081,37.851799,290.4208396310,37.8517895124,0.014,0.013,90,290.4209649641,37.8516599129,2051106987063242880,2015.0,0.113,0.163,4.83,0.23,23.751,0.935,-31.104,0.864,0.443,0,140,3.12415e+05,1.86394e+02,11.788,NOT_AVAILABLE,70.1023427804,10.7968489677
0.162344,2572029,290.60806,37.801891,290.6080806894,37.8019330281,0.000,0.000,0,290.6080806894,37.8019330281,2052604109582299264,2015.0,0.101,0.114,,,,,,,0.617,0,114,6.89882e+04,6.07765e+01,13.428,NOT_AVAILABLE,70.1231790213,10.6422607719
6.802951,2572029,290.60806,37.801891,290.6100439811,37.8029462842,0.008,0.002,0,290.6100439811,37.8029462842,2052604040866257024,2015.0,2.162,7.627,,,,,,,0.925,0,78,3.97383e+02,2.24585e+00,19.027,NOT_AVAILABLE,70.1248008831,10.6413161325
0.076018,2581316,292.62747,37.860142,292.6274476160,37.8601304423,0.068,0.019,90,292.6274930540,37.8601642500,2051866234198832000,2015.0,0.193,0.493,2.21,0.76,8.610,4.548,8.114,1.237,0.830,0,123,3.21192e+05,1.16242e+02,11.758,NOT_AVAILABLE,70.9047015695,9.2441509354
0.378062,2581554,292.69028,37.83498,292.6903752771,37.8350532555,0.001,0.000,0,292.6903752771,37.8350532555,2051865512647192320,2015.0,0.255,0.735,,,,,,,0.904,0,105,1.30534e+05,8.65005e+01,12.735,NOT_AVAILABLE,70.9051854136,9.1885099507
5.333838,2581554,292.69028,37.83498,292.6885793316,37.8343546024,0.003,0.001,0,292.6885793316,37.8343546024,2051865512651752832,2015.0,0.934,3.179,,,,,,,0.990,0,88,4.97917e+03,1.44182e+01,16.282,NOT_AVAILABLE,70.9038968853,9.1894491169
0.262298,2692377,285.66165,37.9645,285.6616917706,37.9645649937,0.000,0.000,0,285.6616917706,37.9645649937,2099862906050556288,2015.0,0.097,0.156,,,,,,,-0.344,0,111,1.25554e+05,8.58194e+01,12.778,NOT_AVAILABLE,68.5951145995,14.2531415582
0.097014,2697935,287.46786,37.96664,287.4678851580,37.9666582438,0.018,0.014,-0,287.4680793320,37.9666633428,2099147742456014464,2015.0,0.114,0.207,3.20,0.30,36.739,0.937,1.224,1.214,-0.098,0,91,1.01824e+06,4.07282e+02,10.505,NOT_AVAILABLE,69.1923603475,12.9527168730
0.221188,2711597,291.12454,37.986511,291.1245402075,37.9865724409,0.004,0.002,0,291.1245402075,37.9865724409,2052621701771194624,2015.0,1.770,4.280,,,,,,,0.989,0,86,2.88006e+04,4.84913e+01,14.376,NOT_AVAILABLE,70.4752867029,10.3588251751
0.337370,2720514,293.0708,37.98687,293.0707364674,37.9867907856,0.000,0.000,0,293.0707364674,37.9867907856,2051862970027211648,2015.0,0.074,0.102,,,,,,,0.559,0,124,8.61884e+04,7.51725e+01,13.186,NOT_AVAILABLE,71.1815844346,8.9920664162
3.869371,2720514,293.0708,37.98687,293.0694745657,37.9866170856,0.007,0.002,0,293.0694745657,37.9866170856,2051862970030933248,2015.0,2.026,7.418,,,,,,,0.962,0,61,5.97724e+02,3.43507e+00,18.584,NOT_AVAILABLE,71.1809631031,8.9928681174
0.354180,2831055,285.51294,38.079739,285.5129498951,38.0798370744,0.000,0.000,0,285.5129498951,38.0798370744,2099912177913972096,2015.0,0.057,0.080,,,,,,,0.170,0,148,5.92773e+04,1.90116e+01,13.593,NOT_AVAILABLE,68.6561825364,14.4064931353
7.123801,2831055,285.51294,38.079739,285.5154455851,38.0798999526,0.000,0.000,0,285.5154455851,38.0798999526,2099912177913972224,2015.0,0.166,0.331,,,,,,,0.524,0,105,2.16197e+03,4.17589e+00,17.188,NOT_AVAILABLE,68.6570469969,14.4047148993
0.143604,2849805,290.88467,38.057571,290.8846234656,38.0575552311,0.001,0.000,0,290.8846234656,38.0575552311,2052603284948567808,2015.0,0.273,0.842,,,,,,,0.971,0,134,8.56168e+04,6.99341e+01,13.193,NOT_AVAILABLE,70.4545699485,10.5596846132
