 KOI  KICID     Telescope Instrument  Band    PSF  delta(m)   d    Obsdate
  92   7941200    Pal5     PHARO        Ks    0.10   8.00    1.0   2010-07-01
  92   7941200    WIYN      DSSI     692nm    0.05   3.79    0.2   2010-06-20
  92   7941200    WIYN      DSSI     562nm    0.05   2.84    0.2   2010-06-20
  94   6462863    CAHA  AstraLux        i'    0.53   2.88    0.5   2013-06-21
  94   6462863    Keck     NIRC2        K'   99.99   8.20    0.5   2012-07-07
  94   6462863    Keck     NIRC2        K'   99.99   4.55   0.03   2012-07-07
  94   6462863     MMT     ARIES        Ks    0.15   8.00    1.0   2009-11-09
  94   6462863     MMT     ARIES         J    0.20   8.00    1.0   2009-11-09
  94   6462863  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
  94   6462863    WIYN      DSSI     692nm    0.05   3.17    0.2   2010-06-19
  94   6462863    WIYN      DSSI     562nm    0.05   1.64    0.2   2010-06-19
  94   6462863    WIYN      DSSI     880nm    0.05   2.18    0.2   2010-10-23
  94   6462863    WIYN      DSSI     692nm    0.05   2.50    0.2   2010-10-23
  97   5780885     MMT     ARIES         J    0.20   8.00    1.0   2009-11-09
  97   5780885     MMT     ARIES        Ks    0.15   8.00    1.0   2009-11-09
  97   5780885  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-17
  98  10264660     DCT      DSSI     880nm    0.04   2.03    0.2   2014-03-21
  98  10264660     DCT      DSSI     692nm    0.04   2.77    0.2   2014-03-21
  98  10264660     DCT      DSSI     692nm    0.04   3.59    0.2   2014-10-01
  98  10264660     DCT      DSSI     880nm    0.04   2.71    0.2   2014-10-01
  98  10264660     Gem      DSSI     692nm    0.02   3.59    0.2   2012-07-27
  98  10264660     Gem      DSSI     880nm    0.02   3.97    0.2   2012-07-27
  98  10264660     Gem      DSSI     692nm    0.02   4.61    0.2   2014-07-25
  98  10264660     Gem      DSSI     880nm    0.02   4.09    0.2   2014-07-25
  98  10264660    Keck     NIRC2        K'   99.99   7.20    0.5   2014-07-28
  98  10264660     MMT     ARIES        Ks    0.15   8.00    1.0   2009-11-09
  98  10264660     MMT     ARIES         J    0.20   8.00    1.0   2009-11-09
  98  10264660  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-17
  98  10264660    Pal5     PHARO         J    0.10   8.00    1.0   2010-07-03
  98  10264660    Pal5     PHARO        Ks    0.10   8.00    1.0   2010-07-03
  98  10264660    WIYN      DSSI     562nm    0.05   1.35    0.2   2010-06-19
  98  10264660    WIYN      DSSI     692nm    0.05   2.44    0.2   2010-06-19
  98  10264660    WIYN      DSSI     692nm    0.05   2.07    0.2   2010-09-19
  98  10264660    WIYN      DSSI     562nm    0.05   3.34    0.2   2010-09-19
  98  10264660    WIYN      DSSI     692nm    0.05   2.35    0.2   2010-09-20
  98  10264660    WIYN      DSSI     562nm    0.05   2.28    0.2   2010-09-20
  98  10264660    WIYN      DSSI     692nm    0.05   2.84    0.2   2010-10-23
